shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.ThirdDMD1RampPower,LocalVariables.ImagingBlowOutID
457,457,2025/06/13 14:42:57,0.0023,2.0
458,458,2025/06/13 14:43:15,0.0023,1.0
459,459,2025/06/13 14:43:34,0.0025,0.0
460,460,2025/06/13 14:43:52,0.0025,1.0
461,461,2025/06/13 14:44:11,0.0025,2.0
462,462,2025/06/13 14:44:29,0.0025,1.0
463,463,2025/06/13 14:44:46,0.0025,2.0
464,464,2025/06/13 14:45:02,0.0025,1.0
465,465,2025/06/13 14:45:20,0.0025,2.0
466,466,2025/06/13 14:45:38,0.0025,1.0
467,467,2025/06/13 14:45:56,0.0025,2.0
468,468,2025/06/13 14:46:15,0.0023,0.0
469,469,2025/06/13 14:46:33,0.0023,2.0
470,470,2025/06/13 14:46:51,0.0023,1.0
471,471,2025/06/13 14:47:09,0.0023,2.0
472,472,2025/06/13 14:47:27,0.0023,1.0
473,473,2025/06/13 14:47:46,0.0023,2.0
474,474,2025/06/13 14:48:04,0.0023,1.0
475,475,2025/06/13 14:48:22,0.0023,2.0
476,476,2025/06/13 14:48:40,0.0023,1.0
477,477,2025/06/13 14:48:58,0.0025,0.0
478,478,2025/06/13 14:49:17,0.0025,1.0
479,479,2025/06/13 14:49:35,0.0025,2.0
480,480,2025/06/13 14:49:53,0.0025,1.0
481,481,2025/06/13 14:50:11,0.0025,2.0
482,482,2025/06/13 14:50:29,0.0025,1.0
483,483,2025/06/13 14:50:47,0.0025,2.0
484,484,2025/06/13 14:51:06,0.0025,1.0
485,485,2025/06/13 14:51:24,0.0025,2.0
486,486,2025/06/13 14:51:42,0.0023,0.0
487,487,2025/06/13 14:52:00,0.0023,2.0
488,488,2025/06/13 14:52:18,0.0023,1.0
489,489,2025/06/13 14:52:36,0.0023,2.0
490,490,2025/06/13 14:52:55,0.0023,1.0
491,491,2025/06/13 14:53:13,0.0023,2.0
492,492,2025/06/13 14:53:31,0.0023,1.0
493,493,2025/06/13 14:53:49,0.0023,2.0
494,494,2025/06/13 14:54:07,0.0023,1.0
495,495,2025/06/13 14:54:26,0.0025,0.0
496,496,2025/06/13 14:54:44,0.0025,1.0
497,497,2025/06/13 14:55:02,0.0025,2.0
498,498,2025/06/13 14:55:21,0.0025,1.0
499,499,2025/06/13 14:55:39,0.0025,2.0
500,500,2025/06/13 14:55:57,0.0025,1.0
501,501,2025/06/13 14:56:15,0.0025,2.0
502,502,2025/06/13 14:56:34,0.0025,1.0
503,503,2025/06/13 14:56:52,0.0025,2.0
504,504,2025/06/13 14:57:10,0.0023,0.0
505,505,2025/06/13 14:57:29,0.0023,2.0
506,506,2025/06/13 14:57:47,0.0023,1.0
507,507,2025/06/13 14:58:05,0.0023,2.0
508,508,2025/06/13 14:58:24,0.0023,1.0
509,509,2025/06/13 14:58:42,0.0023,2.0
510,510,2025/06/13 14:59:00,0.0023,1.0
511,511,2025/06/13 14:59:19,0.0023,2.0
512,512,2025/06/13 14:59:37,0.0023,1.0
513,513,2025/06/13 14:59:56,0.0025,0.0
514,514,2025/06/13 15:00:14,0.0025,1.0
515,515,2025/06/13 15:00:32,0.0025,2.0
516,516,2025/06/13 15:00:50,0.0025,1.0
517,517,2025/06/13 15:01:09,0.0025,2.0
